occupation,직무내용
"웹개발자,앱개발자","
Web
Application
개발 부문
ㆍ Front-end(Vue, React, Angular.js) 개발 역량
ㆍ Back-end(Java) 개발 역량
ㆍ 웹/퍼블리싱 개발 역량
[자격요건]
ㆍ 학력 : (초)대졸이상
ㆍ 경력: 경력/신입 모두 가능
  [기본/우대사항]
ㆍ Spring Boot 개발 경험자
ㆍ MS Azure, GCP, AWS 사용 경험자
"
풀스택,"담당업무
ㆍ웹 BackEnd/FrontEnd 개발
ㆍ모바일 앱 개발
ㆍ애플리케이션 프로그램 개발

주요업무 및 기타 사항
ㆍ국책연구기관 협업 프로젝트 진행
ㆍ고객용 홈페이지 관리 및 유지보수, 서버 운용
ㆍ개인별 개발역량에 따른 프로젝트 배치 및 성과금 지급

자격요건
ㆍ학력 : 학력무관
ㆍ경력: 신입/경력(2~5년)
ㆍ공학계열 전공(컴퓨터공학, 정보통신공학, 응용소프트웨어공학 등)
ㆍ관련 프로그램 언어 가능자

우대사항
ㆍ개발 프로젝트 유경험자
ㆍ다수 프로그램 언어 능숙자
ㆍ3D 관련 개발 경험자
ㆍIT관련 학과 전공자
ㆍ대전/세종 거주자"
프론트엔드개발자,"담당업무
ㆍ데일리페이 서비스의 웹 프론트엔드 플랫폼 개발

자격요건
ㆍ학력 : 국내외 4년제 대학 졸업자
ㆍ React 를 통한 Front-end 개발이 가능하신 분 (React 개발 경력 2년 이상 or 그에 준하는 역량 보유자)
ㆍReact Lifecycle 과 SPA 에 대한 이해가 있는 분
ㆍES6 이상의 Modern Javascript 에 대한 이해가 있으신 분
ㆍHTML, CSS 에 대한 이해가 있는 분
ㆍ Git을 통한 협업이 가능하신 분
ㆍ긍정적이고 협업에 어려움이 없는 분

우대사항
? 컴퓨터공학 관련 전공자
? 핀테크 서비스 개발 경험자
ㆍ팀원들, 그리고 기획/운영/디자인팀과의 커뮤니케이션 능력이 좋으신 분
ㆍ금융 프로젝트 경험이 있으신 분
ㆍTypescript 개발 경험이 있으신 분
ㆍReact Hooks 개발 경험이 있으신 분
ㆍCSS-in-JS에 대한 지식이 있으신 분
ㆍSSR 개발 경험이 있으신 분\"
"프론트엔드개발자,웹개발자,앱개발자","
웹개발자
( 0명 )
담당업무
ㆍ신규/기존 프로젝트에 핵심 프로그래머로 활동
ㆍ자사 플랫폼 서비스의 웹(Front-End, Back-End) 개발 및 개선
 ※ 업무에 사용하는 프로그래밍 언어
PHP(Laravel), JavaScript(Vue.js), SQL

자격요건
ㆍ학력 : 4년제 대졸이상
ㆍ경력 : 무관
-HTML, CSS 등 웹 표준규격에 관한 이해를 가지고 계시는 분
-JavaScript 개발 경험이 2년 이상이신 분
-React, Vue.js 등 최신 Framework를 이용한 개발 경험이 있으신 분
-프로그래밍에 대한 자주적인 공부나 지식 흡수가 가능하신 분
-Git을 이용한 프로젝트 경험이 있는 분

필수사항 
ㆍ일본근무 가능자

우대사항
ㆍ웹 개발에 흥미가 있는 자
ㆍ웹 개발자, 혹은 IT전공환영
ㆍ장기근무 가능자
ㆍ관련 자격증(정보처리기사, 정보처리산업기사) 취득자
"
"프론트엔드개발자,웹개발자","
웹 개발자
( 2명 )
근무조건
ㆍ근무형태: 정규직(수급기간 3개월)
ㆍ근무지: 충남 홍성군(내포혁신도시 내 본사 사무실 / 충청남도교육청 인근)
ㆍ근무일: 주5일
ㆍ근무시간: 09시 ~ 18시
 ㆍ급여: 연봉 29,000,000원 ~ 35,000,000원(면접 후 개인 역량별 차등)

주요업무
ㆍJAVA SPRING 웹 사이트 개발/운영
ㆍ고객사 요구사항(RFP) 기반의 웹 사이트 개발
ㆍSPRING을 활용한 Back-end 개발
ㆍJSP을 활용한 Front-end 개발

스킬
ㆍWEB Programming Skill(JAVA, JSP, Javascript, JQuery)
ㆍJAVA, JSP, SPRING, MVC, Mybatis를 이용한 웹 사이트 구축 가능자
ㆍ 퍼블리싱된 HTML을 이용하여 Front-end 개발 가능자
ㆍDB관련  -  Oracle, MySQL, Cubrid를 이용한 SQL QUERY 작성 가능자
ㆍ개발서버에 JDK, Apache, Tomcat 설치 등 개발환경 구성 가능자
ㆍ전자정부표준프레임워크를 이용한 개발이 가능한 분
ㆍRDBMS 사용 가능자(SQL query 작성가능, 오라클, mysql, cubrid)
ㆍCommunication 역량 보유자(내부고객 및 외부고객과의 소통이 중요함)
"
프론트엔드개발자," Front-end 개발자 인
( 0명 )
주요 업무
ㆍ디지털 트윈 및 시뮬레이션 플랫폼 UI/UX 개발
ㆍ실시간 시뮬레이션 데이터 시각화 (2D/3D 그래픽 및 대시보드)
ㆍ대용량 데이터 관리 및 최적화된 Web UI 구현
ㆍHandsontable, Charts 라이브러리를 활용한 인터랙티브 UI 개발
ㆍFastAPI 기반 백엔드와의 WebSocket, REST API 연동

자격 요건
ㆍReact 기반 Web App 개발 경험
ㆍGit을 이용한 협업 경험
ㆍ해외 출장 및 근무에 결격사유가 없는 분
 우대 사항
ㆍThree.js, Babylon.js를 활용한 Web 3D 그래픽 개발 경험
ㆍ대용량 데이터 시각화 경험 (LightningChart, D3.js, Chart.js 등)
ㆍ산업용 데이터 시각화 경험 (시뮬레이션 결과, 시계열 데이터 분석 등)
ㆍFastAPI, Python 기반 백엔드 연동 경험
ㆍ웹소켓(WebSocket)을 이용한 실시간 데이터 처리 경험
ㆍ영어 커뮤니케이션 가능하신 분
ㆍ병역필 또는 병역 면제자로서 근무에 결격사유가 없는 분
 근무 환경
ㆍ근무 형태: 정규직 (수습기간 3개월)
ㆍ근무 장소: 서울 강남구 테헤란로 7길 11, 한덕빌딩 10층, 시마크로 오피스 
ㆍ급여: 면접 시 협의"
"프론트엔드개발자,웹개발자","웹 개발
(빌링시스템)
인터페이스 설계/구현
애플리케이션 설계/구현
DB 설계, 입출력 구현
신입/경력 0명
[자격요건]
관련 경력: 신입 / 유관경력 3년 이상
관련 전공: 컴퓨터공학/소프트웨어공학
관련 기술:
- JAVA Spring Framework 기반 Frontend, Backend
Service 개발
- React/Node.js 기반 Frontend, Backend Service 개발
- ASP.Net/C# 기반 Frontend, Backend Service 개발
- Classic ASP 기반 Frontend, Backend Service 개발
- RDBMS 기반 SP/SQL 개발
[우대사항]
관련 경험:
- JAVA Spring Boot 환경에서의 프로젝트 경험이 있는 분
- Node.js 기반 RESTFul API 설계 및 개발 경험이 있는 분
- ASP.Net/C# 기반 설계 및 경험이 있는 분
- DB 설계 및 개발 경험이 있는 분
- AA(Application Architect) 역할 가능하신 분
정보처리기사 자격증 소지하신 분
국가보훈대상자"
"앱개발자,웹퍼블리셔","▶담당 업무
    - 프론트엔드 개발(신입/경력)
 ▶자격 요건
    - react, typescript를 이용한 프론트엔드 개발 경험
    - rest api에 대한 이해 및 사용 경험
    - 클라이언트 측 상태 관리 라이브러리 활용 경험
 ▶우대 요건
    - jest 기반 unit test, cypress 등의 e2e test 경험 우대
    - echarts, highcharts 등의 차트 관련 library 사용 경험 우대
    - 레거시 코드 유지보수 및 최적화 경험이 있음
    - 경력 2년이상 우대 (신입지원가능)
    - 전문연구요원 병특 우대"
백엔드개발자,"
1. 담당 업무
Backend RESTful API 설계
Kubernetes 기반 서비스 Backend 구현 및 개선
2. 필수 자격 요건
프로젝트 이력  
Commercial project Backend 개발 수행 경험
Commercial project 웹 애플리케이션 개발 및 배포 경험
Backend 개발  
RESTful API 및 GraphQL API 설계 및 개발 경험
FastAPI 기반의 Backend 개발 경험
Kubernetes 환경의 서비스 개발 경험
RDBMS(PostgreSQL) 및 NoSQL(MongoDB 등) 사용 경험
Spring 또는 Node.js 기반 Backend 개발 경험
협업 및 코드 품질 관리
Git (GitHub, GitLab, Bitbucket 등) 브랜치 전략 활용 경험
코드 성능 평가 및 프로파일링 경험
코드 리뷰 및 Pull Request 작성 경험
Unit Test 및 E2E Test 경험
3. 우대 사항
Frontend 개발
React.js 또는 Vue.js 사용 경험
TypeScript 기반 개발 경험
CI/CD 및 배포 관련
Docker 를 활용한 컨테이너라이징 경험
Kubernetes 환경에서 Frontend Pod 배포 경험 (Helm Chart 작성 가능 시 우대)
Nginx 또는 Caddy 등을 활용한 Static 파일 서빙 경험
Kubernetes Rolling Update 또는 Blue-Green Deployment 활용 경험
Jenkins, ArgoCD, GitOps 기반 배포 경험"
백엔드개발자,"
1. 담당 업무
Kubernetes 기반 서비스 Backend 구현 및 개선
2. 필수 자격 요건
Backend 개발  
FastAPI 기반의 Backend 개발 경험
Kubernetes 환경의 서비스 개발 경험
RDBMS(PostgreSQL) 및 NoSQL(MongoDB 등) 사용 경험
협업 및 코드 품질 관리
Git (GitHub, GitLab, Bitbucket 등) 브랜치 전략 활용 경험
Unit Test 및 E2E Test 경험
3. 우대 사항
Backend 개발
Spring 또는 Node.js 기반 Backend 개발 경험
Frontend 개발
React.js 또는 Vue.js 사용 경험
TypeScript 기반 개발 경험
CI/CD 및 배포 관련
Docker 를 활용한 컨테이너라이징 경험
Kubernetes 환경에서 Backend Pod 배포 경험 (Helm Chart 작성 가능 시 우대)
Nginx 또는 Caddy 등을 활용한 Static 파일 서빙 경험
Kubernetes Rolling Update 또는 Blue-Green Deployment 활용 경험
Jenkins, ArgoCD, GitOps 기반 배포 경험"
"백엔드개발자,소프트웨어개발자","
담당업무
ㆍ 사내 제품 및 서비스 백엔드 개발

스킬
ㆍGo 언어, Docker에 대한 지식 보유

자격요건
ㆍ학력 : IT 관련 학과 전공자
ㆍ경력 : 신입·경력 (5년이하)

우대사항
ㆍKubernetes, EKS에 대한 지식 보유"
백엔드개발자,"Junior Backend Application Engineer


담당업무
소비자들과 트릿지 구성원들이 사용하는 제품의 백엔드 환경을 구현합니다.
지속적인 기술향상을 위해 테스트 케이스 작성과 최적화 그리고 리팩터링에 참여합니다.
다양한 기술 스택들을 배울 수 있는 기회를 만나게 됩니다. (DevOps, Data Science, Kubernetes 등)


자격요건
컴퓨터 공학 관련 학위를 소지하거나 6개월 이상 개발 경험이 있으신 분
탄탄한 공학 지식을 가지고 계신분 (자료구조, 알고리즘, 개발 관련 컨셉)
Python 경험이 있으신 분
호기심이 많고 배우려는 자세를 가지신 분



우대사항
Django 혹은 Flask 경험이 있으신 분
데이터베이스에 대해 잘 알고 모델링 경험이 있으신 분
적극적으로 커뮤니케이션하고 실행력이 있는 분
비즈니스 레벨의 영어 커뮤니케이션이 가능하신 분"
백엔드개발자,"
포지션
( 1명 )
담당업무
ㆍ데일리페이 서비스의 백엔드 개발

자격요건
ㆍ학력 : 국내외 4년제 대학 졸업자
ㆍBack-end 개발 경험 보유자
ㆍPython (Django Rest Framework) 개발 경력 1년 이상 또는 그에 준하는 분
ㆍMySQL 또는 Postgres 등 RDBMS 사용 경험이 있으신 분

우대사항
? 컴퓨터공학 관련 전공자
? 핀테크 서비스 개발 경험자
ㆍGithub을 사용하여 협업 개발 경험이 있으신 분
ㆍPHP 코드를 읽고 Python으로 새롭게 작성이 가능하신 분
ㆍ웹 기반 서비스와 그 구조에 대한 기본적인 이해도가 있으신 분
ㆍ신규 기술에 관심이 많고, 업무에 맞춰 적용 가능하신 분
ㆍ금융 시스템 개발 경험 있으신 분"
백엔드개발자,"
AWS 백엔드 개발자
( 1명 )
담당업무
ㆍ백엔드 서버 개발 
ㆍAPI 서버 개발
ㆍ데이터베이스 설계 및 구현
ㆍ플랫폼 아키텍처 설계
ㆍ연동 규격서 등의 문서 작업
ㆍ문서 작업 가능

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입·경력(3년 이상 ~ 10년 이하)

ㆍ대용량 메시징 및 트래픽 처리 시스템 개발 경험
ㆍ클라우드 서비스 ( AWS, Azure, GCP 등) 사용 경험
ㆍIoT 서버 개발 경험
ㆍ다양한 DBMS (NoSQL 포함) 경험

우대사항
ㆍ대형 플랫폼 아키텍처 설계 및 구현 경험
ㆍ컨테이너를 활용한 관리 실무 경험
ㆍ주도적인 프로젝트 진행 경험
"
"백엔드개발자,소프트웨어개발자","[솔루션] IT 개발본부를 이끌 백엔드-JAVA 개발자
포지션 및 자격요건
JAVA 백엔드 개발자
( 1명 )
담당업무
ㆍ상세내용을 입력하세요
ㆍ상세내용을 입력하세요

스킬
ㆍAPI, Git, JAVA, MySQL, Cloud

핵심역량
ㆍ 계획성, 성실성, 꼼꼼함, 적응성, 창의성, 성장지향성

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입·경력3년↑

우대사항
ㆍ석사학위 수여자
ㆍ박사학위 수여자"
백엔드개발자,"담당업무
ㆍ로봇 어플리케이션용 API 개발/구축
ㆍ대화형 인터페이스용 AI 개발/구축
ㆍ사내 서비스 백엔드 개발/관리

자격요건
ㆍ학력 : 학사 이상의 학위 보유자
ㆍPHP, Python 을 이용한 백엔드 개발 및 구축 경험하신 분 (3년 이상)
ㆍMySQL 사용 가능하신 분
ㆍAWS 사용 가능하신 분
ㆍ최신 LLM에 대한 이해와 경험하신 분
ㆍ최신 Voice Cloning, Vocal Cloning에 대한 이해와 경험하신 분
ㆍTTS/STT에 대한 이해와 경험하신 분
ㆍ최종합격 후, 회사가 지정하는 입사일에 입사 가능하신 분
ㆍ해외여행에 결격 사유가 없는 분 (남성의 경우, 회사가 지정한 입사일까지 병역을 마쳤거나 면제되신 분)

우대사항
ㆍ챗봇용 백엔드 개발 경험
ㆍLLM용 LoRA 생성 경험
ㆍLLM용 RAG 사용 경험"
"백엔드개발자,소프트웨어개발자,클라우드엔지니어","
- 클라우드 기반 멀티 테넌트
  SaaS 서비스 개발
- Java/Spring Boot I Golang
  기반의 백엔드 시스템 구축
- 대용량 트래픽 안정적 처리
  시스템 설계 및 구축
- MSA 환경에서 서비스 연동 및
  최적화 수행
[자격요건]
ㆍ 학력 : 초대졸 이상 / 공학계열
ㆍ 경력 : 신입 및 경력 2~5년 (사원, 대리급)
ㆍ Java/Spring Boot 개발 경험(학교/개인 프로젝트 포함)
ㆍ관계형 데이터베이스 및 Redis 등 캐싱 기술에 대한 이해
ㆍRESTful API 설계 및 구현 경험
ㆍGit을 이용한 버전 관리 경험
ㆍ팀 협업 및 의사소통 능력
ㆍ새로운 기술과 도구를 배우고자 하는 열정과 의지

[우대사항]
ㆍ클라우드 환경(특히 Azure) 경험
ㆍMSA 아키텍처에 대한 이해
ㆍ캐싱, 대용량 트래픽 처리 경험
ㆍ문서 보안/DRM 관련 지식
ㆍCI/CD 파이프라인 구축 경험
ㆍ모니터링 및 로깅 도구 사용 경험
   (Prometheus, Grafana, ELK 스택)
ㆍGolang 등 다양한 프로그래밍 언어 경험"
백엔드개발자,"2025년 상반기 신입사원 채용 - 백엔드 개발
모집 부문
백엔드 개발
자격요건 
ㆍ컴퓨터공학/전산/IT전공자 우대
ㆍPython service backend(Fast API) 개발 우대
ㆍWeb, C++, Linux 숙련자 우대
ㆍ통신, 신호처리/제어 관련 개발 경험자 우대
ㆍK8S, K9S, AWS 경험자 우대
ㆍLinux 관련 지식 및 시스템 분석 능력 보유자 우대
ㆍDocker/Kubernetes 관련 지식 및 사용 경험 우대

근무지
ㆍ서울


공통 지원자격
ㆍ기 졸업자 및 25년 8월 졸업예정자
ㆍ공인 영어성적 보유(TOEIC SPEAKING 120, Opic IM2 이상"
백엔드개발자,"
빅데이터 학습 솔루션 
백엔드 개발자
( 1명 )
담당업무
ㆍ 웹페이지 서비스 개발&유지보수
ㆍ 빅데이터 활용 LMS 개발
ㆍ 사무자동화 프로그램 제작 및 IT 헬프데스크

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입·경력
ㆍ 프로그래밍 경험 (개발 언어/Framework 무관)
ㆍ 팀 단위 프로젝트 참여 경험
ㆍ 원활한 커뮤니케이션 능력 보유

우대사항
ㆍ DB 관련 개발, 분석 (SQL, 빅데이터 등) 이해도
ㆍ IT관련 자격증 소지자
ㆍ Nodejs 백엔드 개발 경험자"
백엔드개발자,"
포지션
( 1명 )

주요 업무
ㆍFastAPI 기반 백엔드 API 및 WebSocket 서버 개발
ㆍMongoDB를 활용한 시계열 데이터 관리 및 최적화
ㆍ대규모 시뮬레이션 데이터 처리 및 저장 시스템 구축
ㆍReact 기반 프론트엔드와의 API 연동 (RESTful API, WebSocket)
ㆍ클라우드 환경(GCP, AWS)에서 백엔드 서비스 운영 및 최적화
ㆍPython 기반 계산 엔진과의 데이터 연동 및 성능 개선
자격 요건
ㆍFastAPI, Flask, 또는 Django 기반 웹 서비스 개발 경험
ㆍMongoDB, PostgreSQL, MySQL 등 데이터베이스 설계 및 운영 경험
ㆍPython을 활용한 서버 개발 및 최적화 경험
ㆍGit을 이용한 협업 경험
ㆍ해외 출장 및 근무에 결격사유가 없는 분
우대 사항
ㆍ산업용 데이터 처리 및 디지털 트윈 관련 프로젝트 경험
ㆍWebSocket 등을 활용한 실시간 데이터 처리 경험
ㆍVector Search (MongoDB Atlas Vector Search, FAISS) 경험
ㆍ대규모 데이터 처리 및 최적화 경험 (Redis, Kafka, RabbitMQ 등)
ㆍGoogle Cloud Platform (GCP) 경험
ㆍ영어 커뮤니케이션 가능하신 분"
백엔드개발자,"온라인 서비스 백엔드 서버 개발 및 운영
( 1명 )
담당업무
ㆍPython, Django 를 통한 온라인 서비스 백엔드 개발 및 운영
ㆍAWS, ECS 등을 통한 인프라 운영
ㆍ고객 행동 지표 분석 및 시각화

스킬
ㆍDjango, Docker, PostgreSQL, Python, API, AWS, Git

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입

우대사항
ㆍ영어가능자
ㆍ컴퓨터활용능력 우수자
ㆍ관련 학과 전공자
ㆍ관련 자격증 보유자
ㆍ자격증 : 정보처리기사"
백엔드개발자,"포지션 및 자격요건
Back-end
( ○명 )
담당업무
ㆍServer Back-end 개발

자격요건
ㆍJava, 객체 지향, Spring framework를 잘 이해하고 활용 가능한 분
ㆍ진취적인 사고와 원활한 소통이 가능한 분 

우대사항
ㆍ컴퓨터 관련 학과를 전공하신 분
ㆍ정보 처리 기사 및 데이터베이스 자격증 소지하신 분
ㆍRDMBS와 NoSQL의 개념과 장단점을 이해하는 분 
  전형절차
ㆍ서류전형 > 1차 테스트/기술 면접 > 2차 임원 면접 > 최종 합격
ㆍ면접 일정은 서류 합격자에 한하여 개별 연락 드립니다.
ㆍ테스트는 50분간 진행되며, 기술 면접 시작 1시간 전에 시행 됩니다.
ㆍ채용 스케줄에 따라 일부 절차가 변경 될 수 있습니다."
